CÓDIGO,Departamento,Jurisdicción,Cat.,Nro.,Nombre,T,CALLE,Nº,CALLE2,Nº2,CALLE3,Nº3,BARRIO / LOCALIDAD,TELEFONO,COMENTARIO,CH,CA,JA,EA,CTR,JTR,ETR,Unnamed: 23,Ed. Especial,0,Unnamed: 26,0.1,Unnamed: 28,Ed. Especial.1,0.2,Unnamed: 31,0.3,direccion_completa,Latitud,Longitud,EstrategiaLatLong,Intento
MONTEVIDEO - HABILITADO_229,MONTEVIDEO,OESTE,HABILITADO,229,LAJAU,,GRAL PALLEJAS,2590,,,,,ARROYO SECO,2203 39 16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,GRAL PALLEJAS 2590,-34.88074153258514,-56.19422675578634,,1.0
MONTEVIDEO - HABILITADO_230,MONTEVIDEO,CENTRO,HABILITADO,230,LIBER FALCO,D,BVAR. ARTIGAS,2310,,,,,LA BLANQUEADA,2481 69 21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,BVAR. ARTIGAS 2310,-34.884733546253116,-56.16585244740092,,1.0
MONTEVIDEO - HABILITADO_231,MONTEVIDEO,ESTE,HABILITADO,231,RUDOLF STEINER,D,AV. BOLIVIA,242,,,,,CARRASCO,2600 83 23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AV. BOLIVIA 242,-34.89481360443397,-56.060866454414196,,1.0
MONTEVIDEO - HABILITADO_232,MONTEVIDEO,CENTRO,HABILITADO,232,IMPULSO,C,AV. SAN MARTÍN,4701,,,,,CERRITO,2216 00 50,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AV. SAN MARTÍN 4701,-34.89167178283472,-56.07287537989884,,1.0
MONTEVIDEO - HABILITADO_233,MONTEVIDEO,ESTE,HABILITADO,233,SANTA MARGARITA,,JOAQUIN DE LA SAGRA,,,,,,,092 641 190,,,,,,,,,,,,,,,,,,,JOAQUIN DE LA SAGRA,-34.87041498261264,-56.1018504830946,,1.0
MONTEVIDEO - HABILITADO_234,MONTEVIDEO,OESTE,HABILITADO,234,JUAN BAUTISTA CROSA,,AV. GARZON ,1835,,,,,COLON,2323 34 68,,,,,,,,,,,,,,,,,,,AV. GARZON  1835,-34.809034942561475,-56.22148732034258,,1.0
MONTEVIDEO - HABILITADO_235,MONTEVIDEO,CENTRO,HABILITADO,235,CLOVER SCHOOL,,JUAN PAULLIER,1778,,,,,TRES CRUCES,2408 66 77,,,,,,,,,,,,,,,,,,,JUAN PAULLIER 1778,-34.895476874256445,-56.169865296896255,,1.0
,MONTEVIDEO,CENTRO,HABILITADO,236,CONECTADOS APRENDEMOS JUNTOS,,NUEVA TROYA,3589,,,,,CERRITO DE LA VICTORIA,22114376,,,,,,,,,,,,,,,,,,,NUEVA TROYA 3589,-34.85940477993946,-56.17004519507666,,1.0
,MONTEVIDEO,ESTE,HABILITADO,237,D’AMORE MONTESSORI SCHOOL,,AVDA. GRAL. RIVERA,4511,,,,,MALVIN,099 184 380,,,,,,,,,,,,,,,,,,,AVDA. GRAL. RIVERA 4511,-34.89292066006813,-56.11547932588053,,1.0
,MONTEVIDEO,CENTRO,HABILITADO,238,ORANGE SCHOOL,,GRAL. URQUIZA,2516,,,,,TRES CRUCES,2482 80 52,,,,,,,,,,,,,,,,,,,GRAL. URQUIZA 2516,-34.89262341762871,-56.16414992216856,,1.0
MONTEVIDEO - AUTORIZADO_007,MONTEVIDEO,ESTE,AUTORIZADO,7,LOS PILARES,D,PRUDENCIO DE PENA,2525,,,,,PARQUE BATLLE,2708 21 18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,PRUDENCIO DE PENA 2525,-34.89758475411721,-56.160513373122356,,1.0
MONTEVIDEO - AUTORIZADO_009,MONTEVIDEO,ESTE,AUTORIZADO,9,SAINT PATRICK'S COLLEGE,D,Cno. GIGANTE,2735,,,,,CARRASCO NORTE,2601 34 74,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno. GIGANTE 2735,-34.86868324308301,-56.06750109754911,,1.0
MONTEVIDEO - AUTORIZADO_013,MONTEVIDEO,ESTE,AUTORIZADO,13,IVY THOMAS MEMORIAL SCHOOL,T,ROQUE GRASERAS,775,,,,,POCITOS,2710 23 96,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ROQUE GRASERAS 775,-34.917242749394624,-56.151462974466185,,1.0
MONTEVIDEO - AUTORIZADO_017,MONTEVIDEO,ESTE,AUTORIZADO,17,SAINT ANDREW'S SCHOOL,D,LUIS B. CAVIA,2791,,,,,POCITOS,2709 49 51,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LUIS B. CAVIA 2791,-34.909893136213164,-56.15503014656007,,1.0
MONTEVIDEO - AUTORIZADO_019,MONTEVIDEO,ESTE,AUTORIZADO,19,THE BRITISH SCHOOLS,D,MAXIMO TAJES,6421,,,,,CARRASCO,2600 34 21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MAXIMO TAJES 6421,-34.876926536418004,-56.06989421479042,,1.0
MONTEVIDEO - AUTORIZADO_020,MONTEVIDEO,ESTE,AUTORIZADO,20,MONTE VI,D,LUIS B. CAVIA,2827,,,,,POCITOS,27090488,,,,,,,,,,,,,,,,,,,LUIS B. CAVIA 2827,-34.91082138695084,-56.15495473789262,,1.0
MONTEVIDEO - AUTORIZADO_022,MONTEVIDEO,ESTE,AUTORIZADO,22,INSTITUTO DE ENSEÑANZA MARANATHA,D,Cno.MALDONADO,6494,,,,,PUNTA DE RIELES,2514 56 82,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno.MALDONADO 6494,-34.82794259823357,-56.10814987115164,,1.0
MONTEVIDEO - AUTORIZADO_023,MONTEVIDEO,OESTE,AUTORIZADO,23,CEN. DE ED. NATURAL E INTEGRAL (C.E.N.I.),D,Av. Dr. LUIS A. de HERRERA,4092,,,,,BRAZO ORIENTAL,2208 24 28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Dr. LUIS A. de HERRERA 4092,-34.861200529815285,-56.185817545362575,,1.0
MONTEVIDEO - AUTORIZADO_032,MONTEVIDEO,ESTE,AUTORIZADO,32,SAINT GEORGE'S SCHOOL,D,DONICETTI,1353,,,,,BUCEO,2613 95 20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,DONICETTI 1353,-34.89829859621483,-56.12164309403379,,1.0
MONTEVIDEO - JARDIN_002,MONTEVIDEO,NINGUNA,JARDIN,2,INSTITUTO GESELLIANO,,Av. GARIBALDI,2235,,,,,,2203 41 01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. GARIBALDI 2235,-34.88056873873676,-56.17090189409721,,1.0
MONTEVIDEO - JARDIN_007,MONTEVIDEO,NINGUNA,JARDIN,7,EL CASTILLITO,,Av. Dr. LUIS A. de HERRERA,2453,,,,,,2481 40 65,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Dr. LUIS A. de HERRERA 2453,-34.883763139636564,-56.151382467094294,,1.0
MONTEVIDEO - JARDIN_013,MONTEVIDEO,NINGUNA,JARDIN,13,ARNOLD GESELL,,COMERCIO,1954/58,COMERCIO,1971(*),Av. ITALIA,3668,,2208 37 00 / 2506 67 70(*),DIRECCIÓN 3 es el MATERNAL (2506 23 50),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,COMERCIO 1954/58,-34.87995740618274,-56.1385469339993,,1.0
MONTEVIDEO - JARDIN_024,MONTEVIDEO,NINGUNA,JARDIN,24,LA CIGÜEÑA,,MAIPU,1761,,,,,,2481 41 81,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MAIPU 1761,-34.89510328768361,-56.145313777445786,,1.0
MONTEVIDEO - JARDIN_026,MONTEVIDEO,NINGUNA,JARDIN,26,INSTITUTO DE FORMACION PREESCOLAR MAFALDA,,ARIOSTO,235,,,,,,2710 39 86,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ARIOSTO 235,-34.92540753999739,-56.15912456401402,,1.0
MONTEVIDEO - JARDIN_033,MONTEVIDEO,NINGUNA,JARDIN,33,BANCO REPUBLICA,,CHUCARRO,1330,,,,,,2709 27 19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CHUCARRO 1330,-34.90898211732737,-56.14433247633168,,1.0
MONTEVIDEO - JARDIN_050,MONTEVIDEO,NINGUNA,JARDIN,50,GUARDERÍA Y JARDÍN AEBU (Bancarios),,JUAN CARLOS GOMEZ,1272,JUAN CARLOS GOMEZ,1265,,,,2915 58 18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JUAN CARLOS GOMEZ 1272,-34.90820666811596,-56.202086662912855,,1.0
MONTEVIDEO - JARDIN_056,MONTEVIDEO,NINGUNA,JARDIN,56,LOS CANGURITOS,,Cno. CARRASCO,5385,,,,,,2522 18 65,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno. CARRASCO 5385,-34.87166700000114,-56.0990269999999,,1.0
MONTEVIDEO - JARDIN_062,MONTEVIDEO,NINGUNA,JARDIN,62,JEAN PIAGET,,LIBERTAD,2795,,,,,,2709 13 06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LIBERTAD 2795,-34.9080653681831,-56.153233031140516,,1.0
MONTEVIDEO - JARDIN_082,MONTEVIDEO,NINGUNA,JARDIN,82,FEDERICO FROEBEL,,Edil HUGO PRATTO,2175,,,,,,2409 34 89,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Edil HUGO PRATTO 2175,-34.909136626480446,-56.167736815286275,,1.0
MONTEVIDEO - JARDIN_086,MONTEVIDEO,NINGUNA,JARDIN,86,GRILLITOS,,Av. LEGRAND,5098,,,,,,2619 46 75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. LEGRAND 5098,-34.89026147729347,-56.098588943245794,,1.0
MONTEVIDEO - JARDIN_096,MONTEVIDEO,NINGUNA,JARDIN,96,EL RATON AZUL,,FRANCISCO BAUZA,3756,,,,,,2628 15 58,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,FRANCISCO BAUZA 3756,-34.8984981704961,-56.13322709715665,,1.0
MONTEVIDEO - JARDIN_104,MONTEVIDEO,NINGUNA,JARDIN,104,JESUS,,Bv. JOSE BATLLE Y ORDOÑEZ,4820,,,,,,2216 03 44,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Bv. JOSE BATLLE Y ORDOÑEZ 4820,-34.848710444903965,-56.18701233913109,,1.0
MONTEVIDEO - JARDIN_106,MONTEVIDEO,NINGUNA,JARDIN,106,PIO PIO,,HIPOLITO MORDEILLE,4140,,,,,,2508 61 45,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,HIPOLITO MORDEILLE 4140,-34.86085325680547,-56.14990719849511,,1.0
MONTEVIDEO - JARDIN_119,MONTEVIDEO,NINGUNA,JARDIN,119,PAULO FREIRE,,SPIKERMAN ,2085,,,,,,2480 08 99,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SPIKERMAN  2085,-34.890028825068725,-56.14892455517899,,1.0
MONTEVIDEO - JARDIN_120,MONTEVIDEO,NINGUNA,JARDIN,120,NUBECITA VIAJERA,,Av. ITALIA,6935,,,,,,2601 38 35,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. ITALIA 6935,-34.87700687287276,-56.0586229875215,,1.0
MONTEVIDEO - JARDIN_121,MONTEVIDEO,NINGUNA,JARDIN,121,OUR KIDS,,J. CANNINGS,2569,LIEJA,7068 - 6858 (*),PEDRO FCO. BERRO,1071,,2480 01 84 / 2480 03 34 (*),DIRECCIÓN 3: 2708 03 51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,J. CANNINGS 2569,-34.895426606972194,-56.16049827642497,,1.0
MONTEVIDEO - JARDIN_124,MONTEVIDEO,NINGUNA,JARDIN,124,CENTRO DE EDUCACION DEL INICIAL C.E.T.P.,,MINAS ,921,,,,,,2411 04 83,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MINAS  921,-34.912818107517936,-56.179113028513875,,1.0
MONTEVIDEO - JARDIN_126,MONTEVIDEO,NINGUNA,JARDIN,126,MY LITTLE WORLD,,MARTIN FIERRO,2579,,,,,,2487 73 11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MARTIN FIERRO 2579,-34.88122755654723,-56.163335861242174,,1.0
MONTEVIDEO - ESPECIAL_001,MONTEVIDEO,NINGUNA,ESPECIAL,1,INST. NACIONAL DE CIEGOS Gral. ARTIGAS,,CNO. MALDONADO,5745,,,,,,2514 06 89,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CNO. MALDONADO 5745,-34.8413593621536,-56.124171307615164,,1.0
MONTEVIDEO - ESPECIAL_003,MONTEVIDEO,NINGUNA,ESPECIAL,3,FRANKLIN DELANO ROOSVELT,,Av. MILLAN,4205,,,,,,2309 76 00 / 2306 07 20,2308 51 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. MILLAN 4205,-34.8476528950472,-56.199787256885394,,1.0
MONTEVIDEO - ESPECIAL_004,MONTEVIDEO,NINGUNA,ESPECIAL,4,ESCUELA HORIZONTE,,Av. AGRACIADA,3591,,,,,,2305 45 95,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. AGRACIADA 3591,-34.866619177679745,-56.20808002014133,,1.0
MONTEVIDEO - ESPECIAL_005,MONTEVIDEO,NINGUNA,ESPECIAL,5,CEN. EDUCATIVO DE RETARDO MENTAL DEL URU. (C.E.R.M.U.),,Av. MILLAN,2849,,,,,,2209 34 21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. MILLAN 2849,-34.87429999863768,-56.18870545158596,,1.0
MONTEVIDEO - ESPECIAL_006,MONTEVIDEO,NINGUNA,ESPECIAL,6,CENTRO PEDAGOGICO TERAPEUTICO (C.P.T.),,LUIS A. DE HERRERA,2482/84,,,,,,2487 99 54,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LUIS A. DE HERRERA 2482/84,-34.851159374142924,-56.275071532972156,,1.0
MONTEVIDEO - ESPECIAL_007,MONTEVIDEO,NINGUNA,ESPECIAL,7,INST. PARA DIS. INTELEC. MOTRICES Y EMOCIONALES (I.D.I.M.E.),,MAR DEL PLATA,6924,,,,,,2605 66 32,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MAR DEL PLATA 6924,-34.8860249497062,-56.050905261391144,,1.0
MONTEVIDEO - ESPECIAL_008,MONTEVIDEO,NINGUNA,ESPECIAL,8,CENTRO DE EDUCACION INDIVIDUALIZADA (C.E.I.),,Av. AGRACIADA,3272,,,,,,2305 73 96,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. AGRACIADA 3272,-34.87145958200511,-56.20271090677037,,1.0
MONTEVIDEO - ESPECIAL_011,MONTEVIDEO,NINGUNA,ESPECIAL,11,ESCUELA Y TALLER APRENDIENDO A CRECER (E.Y.TA.C.),,E. LOPEZ ,4759,,,,,,2618 31 30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,E. LOPEZ  4759,-34.81918100000112,-56.16661499999994,,1.0
MONTEVIDEO - ESPECIAL_012,MONTEVIDEO,NINGUNA,ESPECIAL,12,CEN. ESPECIALIZADO DIURNO DE ATENC. AL MENOR (C.E.D.A.M.),,GARIBALDI,1929,,,,,,2203 41 47,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,GARIBALDI 1929,-34.87684306382573,-56.17775317993823,,1.0
MONTEVIDEO - ESPECIAL_015,MONTEVIDEO,NINGUNA,ESPECIAL,15,TALLER TIMBÓ,,CHARRUA,2226,,,,,,2401 16 57,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CHARRUA 2226,-34.90591954636318,-56.16682925420017,,1.0
MONTEVIDEO - ESPECIAL_016,MONTEVIDEO,NINGUNA,ESPECIAL,16,CEN. INTEGRAL DE ATENC. A PERSONAS VULNERABLES (C.I.A.PE.V.),,SAINT BOIS,4892,,,,,,2511 48 92,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SAINT BOIS 4892,-34.84290402526638,-56.14953366667512,,1.0
MONTEVIDEO - ESPECIAL_017,MONTEVIDEO,NINGUNA,ESPECIAL,17,CENTRO DE INTEGRACION DE DISCAPACITADOS (C.IN.DIS.),,DURAZNO,1369,,,,,,2902 93 01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,DURAZNO 1369,-34.91013468540184,-56.18583179965402,,1.0
MONTEVIDEO - ESPECIAL_022,MONTEVIDEO,NINGUNA,ESPECIAL,22,CENTRO DE REEDUCACION ESPECIAL (C.R.E.),,ARAZATÍ,1188,,,,,,2709 29 48,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ARAZATÍ 1188,-34.907425237091495,-56.154865628129606,,1.0
MONTEVIDEO - ESPECIAL_023,MONTEVIDEO,NINGUNA,ESPECIAL,23,ESCUELA CLINICA DEL CERRO,,JUAN B. VIACABA,1881,AV. LEZICA,5816 (*),,,,2313 93 61,DIRECCIÓN 2 es ANEXO COLÓN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JUAN B. VIACABA 1881,-34.888080205755585,-56.25248022362846,,1.0
MONTEVIDEO - ESPECIAL_024,MONTEVIDEO,NINGUNA,ESPECIAL,24,CENTRO DE ASISTENCIA PSICOPEDAGOGICA (C.A.P.),,BV. ESPAÑA,2515,,,,,,2707 02 19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,BV. ESPAÑA 2515,-34.91196200000115,-56.15956499999993,,1.0
MONTEVIDEO - ESPECIAL_026,MONTEVIDEO,NINGUNA,ESPECIAL,26,CENTRO DE ATENCION AL DESARROLLO INTEGRAL (C.A.D.I.),,AV. LIBERTADOR J. A. LAVALLEJA,1971/504,,,,,,2924 91 14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AV. LIBERTADOR J. A. LAVALLEJA 1971/504,-34.90010870723832,-56.1681443605667,,1.0
MONTEVIDEO - ESPECIAL_029,MONTEVIDEO,NINGUNA,ESPECIAL,29,NUESTRO CAMINO APADIM,,ALEJANDRO GALLINAL,1736,,,,,,2619 93 50,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ALEJANDRO GALLINAL 1736,-34.88690222600136,-56.09795995738448,,1.0
MONTEVIDEO - ESPECIAL_030,MONTEVIDEO,NINGUNA,ESPECIAL,30,CENTRO DE CAPACITACION SIGLO XXI,,FELIPE CONTUCCI,4227,,,,,,2209 80 74,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,FELIPE CONTUCCI 4227,-34.85626245082119,-56.18611288272146,,1.0
MONTEVIDEO - ESPECIAL_031,MONTEVIDEO,NINGUNA,ESPECIAL,31,CENTRO MANOS UNIDAS (CE.MA.U.),,DUVINIOSO TERRA,2292,,,,,,2203 35 06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,DUVINIOSO TERRA 2292,-34.88431206354827,-56.16746354706566,,1.0
MONTEVIDEO - ESPECIAL_032,MONTEVIDEO,NINGUNA,ESPECIAL,32,CENTRO EDUCATIVO DE ATENCION INTEGRAL (C.E.D.A.I.),,CASTRO,507,,,,,,2307 12 49,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CASTRO 507,-34.85213994992404,-56.207266572689456,,1.0
MONTEVIDEO - ESPECIAL_034,MONTEVIDEO,NINGUNA,ESPECIAL,34,LAURENCE LARSEN,,LUIS A. DE HERRERA,3074,,,,,,2486 26 32,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LUIS A. DE HERRERA 3074,-34.87301300577116,-56.16072192561436,,1.0
MONTEVIDEO - ESPECIAL_036,MONTEVIDEO,NINGUNA,ESPECIAL,36,COOP. DE TRABAJADORES HABILES E INHABILES (CO.T.HA.IN.),,JUAN PAULLIER,1627,,,,,,2409 11 10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JUAN PAULLIER 1627,-34.89854648489356,-56.16913263050055,,1.0
MONTEVIDEO - ESPECIAL_037,MONTEVIDEO,NINGUNA,ESPECIAL,37,CEN ED PARA EL NIÑO C/DEFICIT AUDITIVO (CEENDA),,ARAUCHO,1390,,,,,,2707 30 51,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ARAUCHO 1390,-34.89507345220245,-56.14513591282617,,1.0
MONTEVIDEO - ESPECIAL_040,MONTEVIDEO,NINGUNA,ESPECIAL,40,CENTRO DE REEDUCACION INTEGRAL EL NARANJO,,Av. AGRACIADA,3297,,,,,,2305 42 14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. AGRACIADA 3297,-34.871246448055125,-56.20315652159091,,1.0
MONTEVIDEO - ESPECIAL_041,MONTEVIDEO,NINGUNA,ESPECIAL,41,ASOC. PARA DISCAPACITADOS INTELECTUALES AMANECERES,,Av. MILLAN,2822,,,,,,2204 45 46,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. MILLAN 2822,-34.874679896773046,-56.18823243113786,,1.0
MONTEVIDEO - ESPECIAL_044,MONTEVIDEO,NINGUNA,ESPECIAL,44,CENTRO INTERDISCIPLINARIO CICLO,,CORRALES ,3735 bis,CORRALES ,3886,,,,2215 90 73,DIRECCIÓN 2 es el ANEXO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CORRALES  3735 bis,-34.847716594737044,-56.153803265203926,,1.0
MONTEVIDEO - ESPECIAL_046,MONTEVIDEO,NINGUNA,ESPECIAL,46,ATELIER ARTISTICO INTEGRAL (T.A.I.T.A.),,CATALA,2250,,,,,,2486 35 77,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CATALA 2250,-34.887101546048825,-56.17114794204812,,1.0
MONTEVIDEO - ESPECIAL_048,MONTEVIDEO,NINGUNA,ESPECIAL,48,ACCION COORD. Y REIVINDICA. DEL IMPEDIDO DEL URU. (A.C.R.I.D.U.),,JUAN GOLFARINI,4045,MALDONADO,1142 (*),,,,2628 07 77 / 2901 59 87(*),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JUAN GOLFARINI 4045,-34.90420071205009,-56.12591562041061,,1.0
MONTEVIDEO - ESPECIAL_049,MONTEVIDEO,NINGUNA,ESPECIAL,49,FUNDACION YBYRAY,,Gral.THIEBAUT,1816,,,,,,2481 17 69,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Gral.THIEBAUT 1816,-34.891197266142235,-56.13395986801953,,1.0
MONTEVIDEO - ESPECIAL_050,MONTEVIDEO,NINGUNA,ESPECIAL,50,CEN. DE INVEST. Y DESARROLLO PARA LA PERSONA SORDA (CINDE),,GIL,945,,,,,,2308 32 12 / 2309 92 28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,GIL 945,-34.867391000001135,-56.33141299999997,,1.0
MONTEVIDEO - ESPECIAL_052,MONTEVIDEO,NINGUNA,ESPECIAL,52,CENTRO INTEGRA - C.A.D.A.,,LA PAZ,2327,,,,,,2400 28 38,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LA PAZ 2327,-34.893863070641515,-56.16819262482866,,1.0
MONTEVIDEO - ESPECIAL_053,MONTEVIDEO,NINGUNA,ESPECIAL,53,FUNDACION BRAILLE DEL URUGUAY (F.B.U.),,GERMAN BARBATO,1466,,,,,,2900 14 48,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,GERMAN BARBATO 1466,-34.903308712468245,-56.18620959192312,,1.0
MONTEVIDEO - ESPECIAL_054,MONTEVIDEO,NINGUNA,ESPECIAL,54,C.E.I.D.A.,,AV. LUIS A. DE HERRERA,2655,,,,,,2480 95 76,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AV. LUIS A. DE HERRERA 2655,-34.880527094752026,-56.154395349314576,,1.0
MONTEVIDEO - ESPECIAL_055,MONTEVIDEO,NINGUNA,ESPECIAL,55,CENTRO DE ATENCIÓN TÉCNICO ESPECIALIZADA (C.A.T.E.),,AV. MILLÁN,3836,,,,,,2336 58 34,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AV. MILLÁN 3836,-34.856644375584274,-56.19635594382974,,1.0
MONTEVIDEO - ESPECIAL_057,MONTEVIDEO,NINGUNA,ESPECIAL,57,ESPACIO RED,,CAMINO MALDONADO,5143,CHILE ,4231 / 4233,,,,2514 06 64,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CAMINO MALDONADO 5143,-34.85133661661546,-56.128762150122405,,1.0
ARTIGAS - HABILITADO_001,ARTIGAS,NINGUNA,HABILITADO,1,JUAN PABLO II,D,JOSE PEDRO VARELA,314,,,,,ARTIGAS,4772 24 16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JOSE PEDRO VARELA 314,-30.40482365012752,-56.46921507601232,,1.0
ARTIGAS - HABILITADO_003,ARTIGAS,NINGUNA,HABILITADO,3,BLOOMFIELD SCHOOL,,GARZÓN,212,,,,,ARTIGAS,4772 40 00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,GARZÓN 212,-30.398460803192588,-56.46461525954607,,1.0
ARTIGAS - HABILITADO_004,ARTIGAS,NINGUNA,HABILITADO,4,INSTITUTO URUGUAYO BRASILERO,,AVDA. CORONEL CARLOS LECUEDER,869,,,,,,,,,,,,,,,,,,,,,,,,,AVDA. CORONEL CARLOS LECUEDER 869,-30.408347734696207,-56.473292838810885,,1.0
ARTIGAS - HABILITADO_005,ARTIGAS,NINGUNA,HABILITADO,5,TACUABÉ,,AVDA. GARZÓN,675- 679,,,,,,,,,,,,,,,,,,,,,,,,,AVDA. GARZÓN 675- 679,-30.40499614107302,-56.47125056616126,,1.0
ARTIGAS - ESPECIAL_001,ARTIGAS,NINGUNA,ESPECIAL,1,ADDA. CARITAS DE ESPERANZA,,,,,,,,ARTIGAS,4773 28 15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,-30.41139112041941,-56.480254267296914,,1.0
ARTIGAS - ESPECIAL_002,ARTIGAS,NINGUNA,ESPECIAL,2,T.A.P.A.C.,,,,,,,,ARTIGAS,4773 32 70,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,-30.41139112041941,-56.480254267296914,,1.0
CANELONES - HABILITADO_001,CANELONES,OESTE,HABILITADO,1,ADVENTISTA (J. SUAREZ),T,RUTA 5 Km 33.500,S/N,,,,,PROGRESO,2369 21 10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,RUTA 5 Km 33.500 S/N,-34.61719304291527,-56.25787065806241,,1.0
